date,opening,received,consumed,closing,dip,pairs,rate,cost,eq_DG-01,eq_DG-02,eq_BLR-01,eq_FLT,eq_VEH,eq_FP-01
2024-02-23,14993,0,169,14824,14788,2186,104.92,0,96,22,32,8,11,0
2024-02-24,14824,0,794,14030,14134,9719,104.7,0,435,100,149,40,56,14
2024-02-25,14030,0,786,13244,13218,9852,104.88,0,436,96,167,36,51,0
2024-02-26,13244,0,730,12514,12435,9626,104.73,0,406,92,142,34,56,0
2024-02-27,12514,0,856,11658,11604,11145,104.93,0,516,96,145,41,58,0
2024-02-28,11658,0,861,10797,10795,10988,104.79,0,516,109,140,35,61,0
2024-02-29,10797,0,737,10060,10080,10240,105.1,0,410,93,144,34,56,0
2024-03-01,10060,0,184,9876,9848,2112,105.29,0,107,23,35,8,11,0
2024-03-02,9876,0,864,9012,8995,10464,105.03,0,491,103,160,38,58,14
2024-03-03,9012,0,749,8263,8218,11252,104.89,0,423,91,138,39,58,0
2024-03-04,8263,0,841,7422,7367,11435,105.3,0,482,107,157,39,56,0
2024-03-05,7422,0,836,6586,6635,9870,105.32,0,500,102,143,36,55,0
2024-03-06,6586,0,801,5785,5820,10105,105.01,0,467,107,137,35,55,0
2024-03-07,5785,0,864,4921,4899,9853,104.95,0,487,108,172,38,59,0
2024-03-08,4921,13414,179,18156,18229,2135,105.41,1413970,102,23,34,8,12,0
2024-03-09,18156,0,797,17359,17437,9910,105.13,0,453,95,142,39,54,14
2024-03-10,17359,0,782,16577,16450,11166,104.99,0,463,94,139,34,52,0
2024-03-11,16577,0,808,15769,15761,11086,105.23,0,486,94,139,34,55,0
2024-03-12,15769,0,845,14924,14849,10922,105.56,0,497,108,143,38,59,0
2024-03-13,14924,0,885,14039,13958,11248,105.1,0,524,105,155,40,61,0
2024-03-14,14039,0,771,13268,13247,10731,105.16,0,457,103,126,32,53,0
2024-03-15,13268,0,174,13094,12990,1953,105.23,0,98,24,32,9,11,0
2024-03-16,13094,0,820,12274,12353,10944,105.25,0,457,106,146,38,59,14
2024-03-17,12274,0,768,11506,11444,10087,105.08,0,453,93,136,34,52,0
2024-03-18,11506,0,824,10682,10602,10638,105.32,0,491,101,142,37,53,0
2024-03-19,10682,0,793,9889,9866,11143,105.37,0,477,92,143,33,48,0
2024-03-20,9889,0,797,9092,9032,11070,105.38,0,483,92,135,33,54,0
2024-03-21,9092,0,781,8311,8257,10377,105.39,0,438,112,147,34,50,0
2024-03-22,8311,0,183,8128,8086,2248,105.32,0,106,24,32,8,13,0
2024-03-23,8128,0,870,7258,7302,10143,105.62,0,508,104,151,37,56,14
2024-03-24,7258,0,838,6420,6418,10272,105.53,0,477,109,154,39,59,0
2024-03-25,6420,0,919,5501,5530,9901,105.62,0,543,113,165,44,54,0
2024-03-26,5501,0,843,4658,4658,10803,105.63,0,516,102,135,37,53,0
2024-03-27,4658,13580,762,17476,17522,10804,105.34,1430517,448,95,133,37,49,0
2024-03-28,17476,0,805,16671,16601,11029,105.64,0,461,102,153,38,51,0
2024-03-29,16671,0,187,16484,16361,1994,105.77,0,113,24,30,8,12,0
2024-03-30,16484,0,883,15601,15547,9979,105.51,0,528,101,153,37,50,14
2024-03-31,15601,0,773,14828,14723,10599,105.59,0,428,99,149,40,57,0
2024-04-01,14828,0,859,13969,13945,10341,105.36,0,501,114,149,38,57,0
2024-04-02,13969,0,827,13142,13189,9875,105.85,0,473,108,154,39,53,0
2024-04-03,13142,0,849,12293,12210,9867,105.36,0,501,112,143,35,58,0
2024-04-04,12293,0,844,11449,11455,11033,105.58,0,483,108,157,41,55,0
2024-04-05,11449,0,187,11262,11323,2033,105.52,0,110,21,35,8,13,0
2024-04-06,11262,0,872,10390,10440,9847,105.63,0,484,110,168,42,54,14
2024-04-07,10390,0,887,9503,9456,10592,105.74,0,523,107,156,42,59,0
2024-04-08,9503,0,942,8561,8499,9646,105.85,0,572,114,157,43,56,0
2024-04-09,8561,0,830,7731,7683,10581,105.78,0,492,113,134,34,57,0
2024-04-10,7731,0,835,6896,6907,9802,105.68,0,494,103,150,39,49,0
2024-04-11,6896,0,835,6061,6023,9692,105.76,0,503,109,140,33,50,0
2024-04-12,6061,0,192,5869,5902,2178,105.81,0,118,23,30,9,12,0
2024-04-13,5869,13104,868,18105,17987,10436,105.64,1384307,517,107,139,35,56,14
2024-04-14,18105,0,872,17233,17117,11021,105.98,0,524,107,151,36,54,0
2024-04-15,17233,0,793,16440,16426,10504,106.13,0,454,98,152,37,52,0
2024-04-16,16440,0,930,15510,15393,10027,105.56,0,561,113,163,35,58,0
2024-04-17,15510,0,865,14645,14565,9750,105.86,0,525,100,153,37,50,0
2024-04-18,14645,0,820,13825,13844,9594,105.83,0,473,103,154,36,54,0
2024-04-19,13825,0,185,13640,13673,2280,105.96,0,110,24,32,8,11,0
2024-04-20,13640,0,898,12742,12675,10111,105.95,0,533,107,155,37,52,14
2024-04-21,12742,0,801,11941,11951,10168,106.23,0,471,97,151,35,47,0
2024-04-22,11941,0,817,11124,11178,10577,105.87,0,472,102,146,37,60,0
2024-04-23,11124,0,813,10311,10390,10861,106.05,0,457,109,155,35,57,0
2024-04-24,10311,0,913,9398,9372,10281,105.99,0,532,119,162,42,58,0
2024-04-25,9398,0,922,8476,8542,11271,106.12,0,549,115,164,41,53,0
2024-04-26,8476,0,183,8293,8263,2301,106.08,0,109,24,30,9,11,0
2024-04-27,8293,0,833,7460,7478,11245,106.16,0,475,99,152,41,52,14
2024-04-28,7460,0,868,6592,6592,10337,106.18,0,496,109,168,39,56,0
2024-04-29,6592,0,921,5671,5650,9939,105.81,0,564,101,159,39,58,0
2024-04-30,5671,0,781,4890,4908,11006,106.05,0,445,107,139,37,53,0
2024-05-01,4890,13408,899,17399,17305,10179,106.15,1423259,537,110,160,36,56,0
2024-05-02,17399,0,872,16527,16467,10078,105.91,0,515,107,156,38,56,0
2024-05-03,16527,0,199,16328,16233,2055,106.04,0,121,26,32,8,12,0
2024-05-04,16328,0,918,15410,15291,11011,106.03,0,509,119,174,43,59,14
2024-05-05,15410,0,892,14518,14416,9812,106.27,0,515,118,162,36,61,0
2024-05-06,14518,0,853,13665,13657,9693,106.35,0,511,100,158,34,50,0
2024-05-07,13665,0,829,12836,12869,10090,106.19,0,485,106,146,40,52,0
2024-05-08,12836,0,791,12045,12020,10066,106.19,0,462,101,136,38,54,0
2024-05-09,12045,0,956,11089,11086,10765,106.33,0,575,124,161,35,61,0
2024-05-10,11089,0,185,10904,10973,2276,106.39,0,110,23,32,8,12,0
2024-05-11,10904,0,808,10096,10119,11298,106.1,0,460,108,138,33,55,14
2024-05-12,10096,0,857,9239,9269,11076,106.21,0,484,107,168,38,60,0
2024-05-13,9239,0,876,8363,8420,10027,106.34,0,521,109,154,38,54,0
2024-05-14,8363,0,845,7518,7542,10537,106.34,0,516,108,133,36,52,0
2024-05-15,7518,0,810,6708,6737,9637,106.26,0,463,106,149,35,57,0
2024-05-16,6708,0,875,5833,5867,10730,106.54,0,530,114,141,36,54,0
2024-05-17,5833,0,186,5647,5643,2081,106.62,0,111,22,33,9,11,0
2024-05-18,5647,13292,853,18086,18136,11004,106.31,1413073,495,109,151,33,51,14
2024-05-19,18086,0,885,17201,17251,9838,106.25,0,542,100,153,34,56,0
2024-05-20,17201,0,829,16372,16306,11196,106.59,0,471,108,149,41,60,0
2024-05-21,16372,0,849,15523,15476,11062,106.12,0,496,118,151,33,51,0
2024-05-22,15523,0,856,14667,14640,10684,106.37,0,509,117,141,39,50,0
2024-05-23,14667,0,886,13781,13671,10432,106.57,0,524,109,157,38,58,0
2024-05-24,13781,0,190,13591,13572,1951,106.51,0,113,26,30,9,12,0
2024-05-25,13591,0,908,12683,12610,11046,106.62,0,513,106,171,42,62,14
2024-05-26,12683,0,886,11797,11820,11193,106.49,0,540,117,137,37,55,0
2024-05-27,11797,0,780,11017,10979,10289,106.76,0,471,97,131,34,47,0
2024-05-28,11017,0,940,10077,10105,10978,106.42,0,570,126,156,36,52,0
2024-05-29,10077,0,808,9269,9291,10613,106.76,0,479,99,140,40,50,0
2024-05-30,9269,0,888,8381,8401,11236,106.74,0,538,113,140,37,60,0
2024-05-31,8381,0,181,8200,8207,2271,106.37,0,106,23,32,8,12,0
2024-06-01,8200,0,913,7287,7307,9906,106.34,0,542,113,151,40,53,14
2024-06-02,7287,0,901,6386,6403,11272,106.47,0,553,110,148,39,51,0
2024-06-03,6386,0,903,5483,5472,11238,106.32,0,538,121,155,37,52,0
2024-06-04,5483,12713,961,17235,17332,10843,106.88,1358765,591,111,163,40,56,0
2024-06-05,17235,0,993,16242,16333,9792,106.76,0,602,118,169,42,62,0
2024-06-06,16242,0,871,15371,15467,10132,106.75,0,521,110,151,36,53,0
2024-06-07,15371,0,202,15169,15051,1973,106.7,0,124,24,34,8,12,0
2024-06-08,15169,0,912,14257,14314,9649,106.63,0,540,108,149,40,61,14
2024-06-09,14257,0,861,13396,13450,9998,106.44,0,513,105,144,39,60,0
2024-06-10,13396,0,857,12539,12602,9989,106.88,0,524,98,147,33,55,0
2024-06-11,12539,0,797,11742,11656,11042,106.95,0,457,106,147,37,50,0
2024-06-12,11742,0,845,10897,10884,11245,106.89,0,521,112,127,35,50,0
2024-06-13,10897,0,915,9982,9986,9611,106.54,0,547,114,154,41,59,0
2024-06-14,9982,0,194,9788,9785,2032,106.87,0,114,26,34,8,12,0
2024-06-15,9788,0,907,8881,8951,10919,106.51,0,515,118,169,36,55,14
2024-06-16,8881,0,816,8065,8086,9810,106.65,0,468,114,147,35,52,0
2024-06-17,8065,0,782,7283,7283,9857,106.74,0,449,103,147,32,51,0
2024-06-18,7283,0,908,6375,6369,10938,106.82,0,531,121,161,38,57,0
2024-06-19,6375,0,960,5415,5447,10644,106.61,0,598,110,162,37,53,0
2024-06-20,5415,0,927,4488,4499,10033,106.52,0,568,105,156,38,60,0
2024-06-21,4488,13625,194,17919,17899,2024,106.81,1455286,116,22,34,9,13,0
2024-06-22,17919,0,915,17004,16929,10700,106.72,0,564,102,141,38,56,14
2024-06-23,17004,0,970,16034,16126,10423,107.07,0,596,126,154,41,53,0
2024-06-24,16034,0,890,15144,15061,9829,107.13,0,550,110,137,38,55,0
2024-06-25,15144,0,887,14257,14364,11210,107.0,0,550,103,139,37,58,0
2024-06-26,14257,0,925,13332,13391,11116,106.7,0,552,121,158,38,56,0
2024-06-27,13332,0,979,12353,12279,10705,106.96,0,602,109,169,41,58,0
2024-06-28,12353,0,184,12169,12073,2234,106.97,0,105,26,33,8,12,0
2024-06-29,12169,0,933,11236,11286,10446,106.68,0,540,118,162,41,58,14
2024-06-30,11236,0,951,10285,10334,10462,107.15,0,565,115,171,42,58,0
2024-07-01,10285,0,862,9423,9392,10452,106.71,0,501,110,154,41,56,0
2024-07-02,9423,0,933,8490,8465,11246,106.9,0,572,125,144,37,55,0
2024-07-03,8490,0,954,7536,7512,9590,106.71,0,593,112,145,43,61,0
2024-07-04,7536,0,909,6627,6656,11180,107.22,0,562,109,140,38,60,0
2024-07-05,6627,0,193,6434,6389,1964,107.19,0,121,22,32,7,11,0
2024-07-06,6434,0,808,5626,5606,9622,107.25,0,468,96,137,38,55,14
2024-07-07,5626,13373,942,18057,18083,11287,106.99,1430777,572,118,161,34,57,0
2024-07-08,18057,0,885,17172,17092,9690,107.12,0,542,103,153,37,50,0
2024-07-09,17172,0,885,16287,16328,11146,107.07,0,531,106,152,38,58,0
2024-07-10,16287,0,884,15403,15323,10351,106.83,0,537,112,143,36,56,0
2024-07-11,15403,0,815,14588,14519,10419,107.24,0,474,105,143,39,54,0
2024-07-12,14588,0,191,14397,14460,2194,107.37,0,113,22,35,8,13,0
2024-07-13,14397,0,930,13467,13525,10953,106.83,0,551,109,169,35,52,14
2024-07-14,13467,0,826,12641,12727,10953,107.36,0,477,110,152,37,50,0
2024-07-15,12641,0,893,11748,11817,9956,107.26,0,553,105,145,37,53,0
2024-07-16,11748,0,879,10869,10820,10877,107.06,0,537,98,150,38,56,0
2024-07-17,10869,0,920,9949,9976,9686,107.01,0,560,106,166,37,51,0
2024-07-18,9949,0,879,9070,9114,10386,107.12,0,528,116,143,38,54,0
2024-07-19,9070,0,196,8874,8852,1950,107.41,0,119,23,35,7,12,0
2024-07-20,8874,0,855,8019,8063,10133,107.12,0,515,95,142,33,56,14
2024-07-21,8019,0,892,7127,7132,10293,107.08,0,534,113,152,40,53,0
2024-07-22,7127,0,807,6320,6316,10740,106.89,0,469,109,138,40,51,0
2024-07-23,6320,0,882,5438,5453,10209,107.03,0,527,117,146,35,57,0
2024-07-24,5438,12873,828,17483,17403,9838,106.92,1376381,492,114,134,34,54,0
2024-07-25,17483,0,952,16531,16481,10990,107.35,0,594,118,145,37,58,0
2024-07-26,16531,0,185,16346,16273,2099,107.3,0,109,24,33,8,11,0
2024-07-27,16346,0,865,15481,15570,10557,107.22,0,488,116,156,38,53,14
2024-07-28,15481,0,859,14622,14600,10907,107.41,0,520,104,147,37,51,0
2024-07-29,14622,0,851,13771,13842,10406,107.09,0,494,115,151,37,54,0
2024-07-30,13771,0,871,12900,12908,10402,107.39,0,532,105,144,37,53,0
2024-07-31,12900,0,826,12074,12018,10104,107.49,0,501,104,143,32,46,0
2024-08-01,12074,0,821,11253,11306,9935,107.09,0,490,97,147,33,54,0
2024-08-02,11253,0,181,11072,11133,2144,107.1,0,100,26,35,8,12,0
2024-08-03,11072,0,952,10120,10132,9616,107.5,0,563,119,162,38,56,14
2024-08-04,10120,0,879,9241,9231,11002,107.15,0,517,115,147,42,58,0
2024-08-05,9241,0,939,8302,8288,10142,107.6,0,560,118,164,37,60,0
2024-08-06,8302,0,797,7505,7470,10350,107.57,0,459,112,139,38,49,0
2024-08-07,7505,0,855,6650,6689,9823,107.55,0,502,110,146,40,57,0
2024-08-08,6650,0,847,5803,5811,10530,107.1,0,513,101,149,37,47,0
2024-08-09,5803,0,196,5607,5584,2184,107.6,0,115,24,35,9,13,0
2024-08-10,5607,13350,930,18027,17954,11427,107.16,1430586,545,114,164,41,52,14
2024-08-11,18027,0,866,17161,17245,10685,107.45,0,528,104,144,34,56,0
2024-08-12,17161,0,915,16246,16262,9593,107.49,0,547,111,157,40,60,0
2024-08-13,16246,0,834,15412,15499,10663,107.19,0,493,100,152,39,50,0
2024-08-14,15412,0,878,14534,14480,11431,107.72,0,511,116,154,38,59,0
2024-08-15,14534,0,914,13620,13572,10526,107.55,0,551,119,153,35,56,0
2024-08-16,13620,0,180,13440,13359,2166,107.56,0,101,25,33,9,12,0
2024-08-17,13440,0,862,12578,12651,10570,107.67,0,501,114,140,36,57,14
2024-08-18,12578,0,861,11717,11796,10499,107.58,0,499,109,162,34,57,0
2024-08-19,11717,0,806,10911,10997,10658,107.7,0,464,104,147,36,55,0
2024-08-20,10911,0,853,10058,10103,10387,107.42,0,476,113,167,38,59,0
2024-08-21,10058,0,903,9155,9082,11048,107.47,0,539,109,164,37,54,0
2024-08-22,9155,0,918,8237,8201,9829,107.21,0,560,115,145,40,58,0
2024-08-23,8237,0,194,8043,8043,2021,107.66,0,115,24,34,8,13,0
2024-08-24,8043,0,808,7235,7229,10269,107.67,0,479,93,139,35,48,14
2024-08-25,7235,0,796,6439,6428,10208,107.53,0,460,97,152,37,50,0
2024-08-26,6439,0,793,5646,5637,10484,107.56,0,454,96,153,35,55,0
2024-08-27,5646,12765,868,17543,17457,10009,107.46,1371727,504,114,154,42,54,0
2024-08-28,17543,0,796,16747,16862,9865,107.76,0,473,101,130,37,55,0
2024-08-29,16747,0,822,15925,15997,10283,107.47,0,492,101,139,40,50,0
2024-08-30,15925,0,182,15743,15625,2099,107.7,0,104,24,33,9,12,0
2024-08-31,15743,0,878,14865,14809,10383,107.65,0,500,105,160,41,58,14
2024-09-01,14865,0,839,14026,14092,9568,107.67,0,475,107,169,36,52,0
2024-09-02,14026,0,755,13271,13306,10473,107.84,0,423,100,143,33,56,0
2024-09-03,13271,0,913,12358,12446,10711,107.86,0,549,112,160,39,53,0
2024-09-04,12358,0,826,11532,11443,11283,107.36,0,486,95,155,35,55,0
2024-09-05,11532,0,819,10713,10749,10612,107.42,0,486,99,146,33,55,0
2024-09-06,10713,0,168,10545,10476,2296,107.34,0,95,22,32,8,11,0
2024-09-07,10545,0,798,9747,9803,10498,107.86,0,456,96,144,39,49,14
2024-09-08,9747,0,762,8985,8931,10307,107.66,0,462,88,127,37,48,0
2024-09-09,8985,0,790,8195,8259,9756,107.41,0,484,92,133,34,47,0
2024-09-10,8195,0,846,7349,7325,10798,107.5,0,507,104,141,35,59,0
2024-09-11,7349,0,844,6505,6535,10441,107.36,0,491,104,158,35,56,0
2024-09-12,6505,0,868,5637,5625,10166,107.41,0,524,108,149,34,53,0
2024-09-13,5637,0,172,5465,5473,1980,107.95,0,99,20,33,9,11,0
2024-09-14,5465,13495,826,18134,18080,10635,107.6,1452062,471,105,147,34,55,14
2024-09-15,18134,0,809,17325,17239,11109,107.66,0,480,95,138,38,58,0
2024-09-16,17325,0,768,16557,16490,10475,107.45,0,438,104,137,34,55,0
2024-09-17,16557,0,916,15641,15745,9844,107.72,0,544,102,170,37,63,0
2024-09-18,15641,0,864,14777,14857,10321,107.85,0,495,104,160,42,63,0
2024-09-19,14777,0,798,13979,14006,10574,107.64,0,489,88,129,37,55,0
2024-09-20,13979,0,182,13797,13827,2178,107.58,0,105,24,34,8,11,0
2024-09-21,13797,0,808,12989,12919,11092,107.99,0,464,95,151,34,50,14
2024-09-22,12989,0,810,12179,12196,10027,107.8,0,496,97,136,33,48,0
2024-09-23,12179,0,780,11399,11420,9894,107.56,0,439,104,141,41,55,0
2024-09-24,11399,0,843,10556,10521,11355,107.63,0,484,110,155,37,57,0
2024-09-25,10556,0,748,9808,9804,11399,107.65,0,413,96,151,38,50,0
2024-09-26,9808,0,813,8995,9002,10534,107.74,0,475,107,138,38,55,0
2024-09-27,8995,0,185,8810,8747,2196,107.85,0,111,22,32,7,13,0
2024-09-28,8810,0,827,7983,7923,9714,107.6,0,489,88,152,33,51,14
2024-09-29,7983,0,837,7146,7143,11329,107.92,0,489,102,156,33,57,0
2024-09-30,7146,0,884,6262,6270,9624,107.67,0,516,114,154,39,61,0
2024-10-01,6262,0,879,5383,5362,9767,107.54,0,500,108,168,42,61,0
2024-10-02,5383,12854,783,17454,17448,10197,107.97,1387846,459,95,136,37,56,0
2024-10-03,17454,0,810,16644,16674,9832,107.62,0,456,109,155,36,54,0
2024-10-04,16644,0,183,16461,16529,2258,108.04,0,110,23,31,8,11,0
2024-10-05,16461,0,788,15673,15567,11401,108.02,0,442,99,145,37,51,14
2024-10-06,15673,0,723,14950,14891,11343,108.03,0,409,95,132,38,49,0
2024-10-07,14950,0,772,14178,14073,10482,107.7,0,443,96,147,34,52,0
2024-10-08,14178,0,729,13449,13510,11127,108.1,0,410,96,138,33,52,0
2024-10-09,13449,0,778,12671,12740,10099,108.11,0,467,87,134,38,52,0
2024-10-10,12671,0,828,11843,11763,10985,108.09,0,464,102,169,40,53,0
2024-10-11,11843,0,173,11670,11670,2285,107.77,0,97,23,33,9,11,0
2024-10-12,11670,0,823,10847,10881,11230,108.04,0,461,100,155,39,54,14
2024-10-13,10847,0,739,10108,10106,10180,107.64,0,411,100,139,34,55,0
2024-10-14,10108,0,889,9219,9218,10482,108.09,0,519,107,165,37,61,0
2024-10-15,9219,0,836,8383,8409,10737,108.03,0,472,108,160,39,57,0
2024-10-16,8383,0,716,7667,7719,10423,108.11,0,413,93,130,33,47,0
2024-10-17,7667,0,842,6825,6790,10047,107.71,0,477,103,170,39,53,0
2024-10-18,6825,0,167,6658,6709,2294,107.91,0,94,22,31,8,12,0
2024-10-19,6658,0,901,5757,5739,9628,107.63,0,514,105,165,40,63,14
2024-10-20,5757,13175,831,18101,17956,9768,108.11,1424349,474,105,160,35,57,0
2024-10-21,18101,0,782,17319,17387,10585,107.61,0,454,85,153,36,54,0
2024-10-22,17319,0,776,16543,16415,10143,107.92,0,455,85,143,37,56,0
2024-10-23,16543,0,786,15757,15814,11010,107.93,0,448,93,152,40,53,0
2024-10-24,15757,0,869,14888,14827,9578,107.65,0,501,101,164,41,62,0
2024-10-25,14888,0,184,14704,14721,2228,107.72,0,106,20,36,9,13,0
2024-10-26,14704,0,789,13915,13971,9715,108.07,0,445,87,154,38,51,14
2024-10-27,13915,0,866,13049,12989,11375,107.67,0,499,95,170,40,62,0
2024-10-28,13049,0,782,12267,12243,10489,107.74,0,463,90,145,37,47,0
2024-10-29,12267,0,767,11500,11451,11060,107.76,0,433,104,141,37,52,0
2024-10-30,11500,0,770,10730,10662,10780,107.86,0,440,97,145,33,55,0
2024-10-31,10730,0,829,9901,9919,11367,107.67,0,493,102,142,36,56,0
2024-11-01,9901,0,173,9728,9749,2007,108.15,0,98,21,35,8,11,0
2024-11-02,9728,0,787,8941,8993,10975,107.85,0,449,94,144,36,50,14
2024-11-03,8941,0,713,8228,8203,10125,108.21,0,394,89,141,32,57,0
2024-11-04,8228,0,753,7475,7515,9685,108.01,0,424,84,155,39,51,0
2024-11-05,7475,0,817,6658,6679,11106,107.69,0,454,102,164,39,58,0
2024-11-06,6658,0,850,5808,5846,9603,107.92,0,473,104,174,41,58,0
2024-11-07,5808,0,744,5064,5039,11219,107.95,0,403,101,150,36,54,0
2024-11-08,5064,13000,173,17891,17968,2166,108.16,1406080,100,21,32,8,12,0
2024-11-09,17891,0,876,17015,16948,10306,108.16,0,512,105,154,39,52,14
2024-11-10,17015,0,774,16241,16139,10609,107.7,0,430,101,143,41,59,0
2024-11-11,16241,0,753,15488,15485,10637,108.26,0,424,96,142,38,53,0
2024-11-12,15488,0,762,14726,14649,10455,107.84,0,444,85,149,38,46,0
2024-11-13,14726,0,784,13942,13901,9866,107.76,0,460,88,149,35,52,0
2024-11-14,13942,0,717,13225,13158,9857,107.68,0,399,94,136,37,51,0
2024-11-15,13225,0,180,13045,13060,2198,107.75,0,103,21,34,9,13,0
2024-11-16,13045,0,821,12224,12143,10555,107.78,0,467,101,142,37,60,14
2024-11-17,12224,0,722,11502,11487,10095,107.69,0,415,86,130,40,51,0
2024-11-18,11502,0,772,10730,10758,10209,107.98,0,453,87,146,33,53,0
2024-11-19,10730,0,792,9938,9901,9620,107.78,0,455,100,151,36,50,0
2024-11-20,9938,0,856,9082,9065,10863,107.74,0,500,99,160,38,59,0
2024-11-21,9082,0,805,8277,8313,9743,108.23,0,438,105,164,39,59,0
2024-11-22,8277,0,168,8109,8114,2237,107.74,0,93,21,34,8,12,0
2024-11-23,8109,0,841,7268,7296,10290,107.99,0,472,94,164,39,58,14
2024-11-24,7268,0,733,6535,6576,10609,108.22,0,419,86,134,38,56,0
2024-11-25,6535,0,754,5781,5760,11040,107.83,0,449,89,134,33,49,0
2024-11-26,5781,0,734,5047,5038,10670,107.87,0,420,86,137,35,56,0
2024-11-27,5047,13465,789,17723,17730,10959,108.29,1458125,467,93,133,38,58,0
2024-11-28,17723,0,767,16956,16835,10088,107.87,0,434,92,145,42,54,0
2024-11-29,16956,0,160,16796,16715,1958,108.22,0,91,19,30,8,12,0
2024-11-30,16796,0,797,15999,16047,11159,107.72,0,456,88,150,38,51,14
2024-12-01,15999,0,764,15235,15158,11297,107.87,0,438,95,138,37,56,0
